step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
0,300,2000,400,150,0,20,0,1.0,2,10
1,299,2000,415,149,0,20,0,1.0,2,10
2,387,1996,420,172,4,20,1,1.0,2,10
3,446,2151,396,184,14,20,1,1.0,2,10
4,548,2243,373,202,35,20,2,1.0,2,10
5,634,2438,347,181,43,20,8,1.0,2,10
6,695,3279,325,156,40,20,2,1.0,2,10
7,772,3438,285,125,37,20,5,1.0,2,10
8,762,3976,256,111,28,20,1,1.0,2,10
9,781,4109,259,114,24,20,0,1.0,2,10
10,719,4105,235,96,17,20,2,1.0,2,10
11,694,4251,203,87,18,20,2,1.0,2,10
12,731,4421,174,82,12,20,2,1.0,2,10
13,734,4590,159,88,9,20,1,1.0,2,10
14,739,4660,147,92,9,20,1,1.0,2,10
15,716,4679,133,74,8,20,0,1.0,2,10
16,712,4566,126,80,9,20,0,1.0,2,10
17,733,4463,121,88,7,20,0,1.0,2,10
18,680,4311,112,87,7,20,1,1.0,2,10
19,617,4259,105,81,5,20,0,1.0,2,10
20,570,4117,97,82,3,20,1,1.0,2,10
21,582,4106,86,72,3,20,0,1.0,2,10
22,578,3891,85,65,1,20,0,1.0,2,10
23,518,3669,85,67,1,20,0,1.0,2,10
24,516,3427,79,64,0,20,0,1.0,2,10
25,490,3197,76,53,0,20,0,1.0,2,10
26,455,2944,75,37,0,20,0,1.0,2,10
27,420,2679,73,37,0,20,0,1.0,2,10
28,380,2393,76,39,0,20,0,1.0,2,10
29,384,2113,80,34,0,20,0,1.0,2,10
30,332,1824,77,37,0,20,0,1.0,2,10
31,334,1531,81,39,0,20,0,1.0,2,10
32,339,1365,82,37,0,20,0,1.0,2,10
33,294,1177,79,37,0,20,0,1.0,2,10
34,278,1006,81,41,0,20,0,1.0,2,10
35,247,841,83,34,0,20,0,1.0,2,10
36,230,686,83,33,0,20,0,1.0,2,10
37,211,532,87,30,0,20,0,1.0,2,10
38,182,429,86,32,0,20,0,1.0,2,10
39,176,341,81,32,0,20,0,1.0,2,10
40,146,280,86,25,0,20,0,1.0,2,10
41,128,239,85,27,0,20,0,1.0,2,10
42,128,192,88,24,0,20,0,1.0,2,10
43,103,151,99,28,0,20,0,1.0,2,10
44,106,123,104,25,0,20,0,1.0,2,10
45,93,103,111,21,0,20,0,1.0,2,10
46,102,75,130,18,0,20,0,1.0,2,10
47,111,60,142,17,0,20,0,1.0,2,10
48,102,42,153,13,0,20,0,1.0,2,10
49,117,27,169,7,0,20,0,1.0,2,10
50,119,16,172,4,0,20,0,1.0,2,10
51,105,9,183,8,0,20,0,1.0,2,10
52,104,0,193,8,0,20,0,1.0,2,10
53,110,0,199,10,0,20,0,1.0,2,10
54,109,0,206,10,0,20,0,1.0,2,10
55,106,0,221,14,0,20,0,1.0,2,10
56,99,0,219,16,0,20,0,1.0,2,10
57,108,0,222,17,0,20,0,1.0,2,10
58,111,0,230,20,0,20,0,1.0,2,10
59,106,0,242,18,0,20,0,1.0,2,10
60,112,0,248,22,0,20,0,1.0,2,10
0,300,2000,400,150,0,20,0,1.5,2,10
1,299,2000,415,149,0,20,0,1.5,2,10
2,354,1994,403,169,4,20,1,1.5,2,10
3,452,2011,387,171,19,20,2,1.5,2,10
4,546,2190,356,172,36,20,5,1.5,2,10
5,641,2693,344,172,44,20,4,1.5,2,10
6,685,3160,318,158,37,20,5,1.5,2,10
7,761,3651,258,141,37,20,4,1.5,2,10
8,785,4086,230,148,33,20,1,1.5,2,10
9,743,4197,209,152,30,20,3,1.5,2,10
10,703,4568,211,163,22,20,4,1.5,2,10
11,703,5040,186,142,22,20,2,1.5,2,10
12,729,5251,160,156,17,20,3,1.5,2,10
13,761,5510,139,153,15,20,1,1.5,2,10
14,760,5566,113,137,10,20,2,1.5,2,10
15,737,5841,98,123,11,20,0,1.5,2,10
16,744,5711,81,122,8,20,0,1.5,2,10
17,702,5604,76,113,6,20,0,1.5,2,10
18,680,5480,71,112,3,20,0,1.5,2,10
19,590,5338,66,103,5,20,0,1.5,2,10
20,570,5200,61,107,5,20,0,1.5,2,10
21,559,5023,64,133,4,20,0,1.5,2,10
22,529,4835,57,129,3,20,0,1.5,2,10
23,515,4606,55,145,1,20,0,1.5,2,10
24,475,4390,53,145,1,20,0,1.5,2,10
25,475,4138,49,155,2,20,0,1.5,2,10
26,441,3859,48,162,2,20,0,1.5,2,10
27,437,3517,47,145,1,20,0,1.5,2,10
28,408,3142,42,139,1,20,0,1.5,2,10
29,391,2813,48,136,0,20,0,1.5,2,10
30,378,2486,41,133,1,20,0,1.5,2,10
31,386,2149,40,123,0,20,0,1.5,2,10
32,377,1884,41,126,0,20,0,1.5,2,10
33,360,1647,41,130,0,20,0,1.5,2,10
34,325,1391,41,148,0,20,0,1.5,2,10
35,304,1148,44,143,0,20,0,1.5,2,10
36,296,913,40,131,0,20,0,1.5,2,10
37,265,715,36,121,0,20,0,1.5,2,10
38,247,514,30,113,0,20,0,1.5,2,10
39,211,398,30,111,0,20,0,1.5,2,10
40,234,295,31,100,0,20,0,1.5,2,10
41,235,200,37,99,0,20,0,1.5,2,10
42,235,124,36,100,0,20,0,1.5,2,10
43,220,75,40,104,0,20,0,1.5,2,10
44,220,30,39,108,0,20,0,1.5,2,10
45,244,14,33,113,0,20,0,1.5,2,10
46,242,0,39,128,0,20,0,1.5,2,10
47,232,0,40,137,0,20,0,1.5,2,10
48,205,0,43,143,0,20,0,1.5,2,10
49,232,0,43,157,0,20,0,1.5,2,10
50,232,0,43,174,0,20,0,1.5,2,10
51,216,0,44,182,0,20,0,1.5,2,10
52,188,0,48,185,0,20,0,1.5,2,10
53,190,0,45,186,0,20,0,1.5,2,10
54,214,0,43,200,0,20,0,1.5,2,10
55,197,0,46,194,0,20,0,1.5,2,10
56,175,0,41,171,0,20,0,1.5,2,10
57,167,0,39,162,0,20,0,1.5,2,10
58,187,0,41,123,0,20,0,1.5,2,10
59,180,0,39,127,0,20,0,1.5,2,10
60,154,0,42,126,0,20,0,1.5,2,10
0,300,2000,400,150,0,20,0,1.0,10,10
1,299,2000,415,149,0,20,0,1.0,10,10
2,377,1996,407,173,4,20,0,1.0,10,10
3,350,1975,385,184,21,20,0,1.0,10,10
4,319,1958,354,203,35,20,3,1.0,10,10
5,321,2292,355,182,46,20,2,1.0,10,10
6,292,2552,346,161,52,20,4,1.0,10,10
7,294,3031,341,148,56,20,4,1.0,10,10
8,254,3551,340,132,60,20,5,1.0,10,10
9,200,4100,357,118,63,20,3,1.0,10,10
10,161,4453,383,105,62,20,7,1.0,10,10
11,113,5365,380,106,62,20,4,1.0,10,10
12,110,5661,396,102,63,20,4,1.0,10,10
13,80,6112,407,85,62,20,7,1.0,10,10
14,60,6895,435,97,58,20,6,1.0,10,10
15,54,7534,452,87,57,20,3,1.0,10,10
16,43,7691,498,100,54,20,6,1.0,10,10
17,35,8106,551,102,51,20,6,1.0,10,10
18,25,8664,597,95,47,20,4,1.0,10,10
19,21,9001,642,99,46,20,4,1.0,10,10
20,34,9277,701,72,44,20,6,1.0,10,10
21,28,9943,762,80,43,20,2,1.0,10,10
22,21,10065,813,73,43,20,1,1.0,10,10
23,18,9986,885,70,38,20,2,1.0,10,10
24,14,9984,956,69,33,20,1,1.0,10,10
25,13,9768,1035,77,22,20,4,1.0,10,10
26,3,9893,1109,73,21,20,2,1.0,10,10
27,9,9746,1156,80,19,20,2,1.0,10,10
28,13,9699,1228,69,14,20,2,1.0,10,10
29,10,9539,1322,79,10,20,0,1.0,10,10
30,9,9112,1409,90,7,20,0,1.0,10,10
31,15,8604,1499,87,4,20,1,1.0,10,10
32,15,8363,1600,83,2,20,1,1.0,10,10
33,10,7996,1706,74,1,20,1,1.0,10,10
34,8,7692,1809,69,0,20,0,1.0,10,10
35,8,7237,1931,58,0,20,0,1.0,10,10
36,10,6745,2063,48,0,20,0,1.0,10,10
37,8,6194,2201,35,0,20,0,1.0,10,10
38,8,5663,2353,5,0,20,0,1.0,10,10
39,8,5124,2502,2,0,20,0,1.0,10,10
40,6,4661,2666,2,0,20,0,1.0,10,10
41,7,4211,2819,2,0,20,0,1.0,10,10
42,5,3729,2994,2,0,20,0,1.0,10,10
43,2,3335,3177,2,0,20,0,1.0,10,10
44,5,2902,3353,4,0,20,0,1.0,10,10
45,5,2526,3534,4,0,20,0,1.0,10,10
46,5,2184,3751,4,0,20,0,1.0,10,10
47,4,1884,4009,4,0,20,0,1.0,10,10
48,4,1589,4279,4,0,20,0,1.0,10,10
49,4,1340,4587,7,0,20,0,1.0,10,10
50,2,1106,4876,3,0,20,0,1.0,10,10
51,0,920,5000,3,0,20,0,1.0,10,10
52,0,750,5000,3,0,20,0,1.0,10,10
53,0,617,5000,3,0,20,0,1.0,10,10
54,0,491,5000,3,0,20,0,1.0,10,10
55,0,400,5000,0,0,20,0,1.0,10,10
56,0,293,5000,0,0,20,0,1.0,10,10
57,0,209,5000,0,0,20,0,1.0,10,10
58,0,148,5000,0,0,20,0,1.0,10,10
59,0,103,5000,0,0,20,0,1.0,10,10
60,0,73,5000,0,0,20,0,1.0,10,10
0,300,2000,400,150,0,20,0,1.5,10,10
1,299,2000,415,149,0,20,0,1.5,10,10
2,352,1997,412,186,3,20,0,1.5,10,10
3,366,1987,384,204,12,20,0,1.5,10,10
4,336,1965,360,210,27,20,3,1.5,10,10
5,326,2294,358,208,36,20,6,1.5,10,10
6,288,2958,355,192,47,20,5,1.5,10,10
7,272,3508,342,182,54,20,3,1.5,10,10
8,219,3853,342,171,58,20,5,1.5,10,10
9,160,4352,348,193,59,20,9,1.5,10,10
10,125,5314,384,210,59,20,8,1.5,10,10
11,77,6363,395,228,63,20,5,1.5,10,10
12,66,6764,417,237,65,20,6,1.5,10,10
13,50,7317,438,244,59,20,6,1.5,10,10
14,35,7962,455,253,59,20,5,1.5,10,10
15,23,8479,478,253,58,20,4,1.5,10,10
16,16,8677,507,264,54,20,2,1.5,10,10
17,11,8790,551,247,50,20,4,1.5,10,10
18,12,9318,584,249,45,20,2,1.5,10,10
19,9,9449,617,224,33,20,0,1.5,10,10
20,8,9326,665,218,31,20,1,1.5,10,10
21,8,9291,721,220,25,20,2,1.5,10,10
22,8,9291,756,219,20,20,0,1.5,10,10
23,8,9057,808,214,19,20,0,1.5,10,10
24,4,8814,858,201,18,20,1,1.5,10,10
25,1,8642,931,186,15,20,2,1.5,10,10
26,1,8552,989,191,15,20,2,1.5,10,10
27,1,8319,1053,194,10,20,0,1.5,10,10
28,0,7870,1123,195,9,20,1,1.5,10,10
29,0,7532,1199,196,6,20,0,1.5,10,10
