step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
0,300,2000,400,150,0,20,0,1.0,2,246
1,298,2000,401,150,0,20,0,1.0,2,246
2,380,1989,383,166,9,20,0,1.0,2,246
3,450,1976,347,190,19,20,1,1.0,2,246
4,519,2049,337,210,33,20,4,1.0,2,246
5,632,2496,285,200,36,20,3,1.0,2,246
6,707,2728,254,186,41,20,3,1.0,2,246
7,755,3061,234,187,34,20,5,1.0,2,246
8,752,3785,217,176,32,20,5,1.0,2,246
9,757,4332,192,148,23,20,7,1.0,2,246
10,730,5086,178,149,23,20,3,1.0,2,246
11,660,5376,156,135,19,20,3,1.0,2,246
12,649,5655,138,147,13,20,3,1.0,2,246
13,631,5987,131,129,12,20,1,1.0,2,246
14,566,6048,117,128,7,20,0,1.0,2,246
15,536,6048,105,126,6,20,0,1.0,2,246
16,522,5929,94,120,5,20,0,1.0,2,246
17,516,5815,90,129,4,20,0,1.0,2,246
18,464,5699,84,103,4,20,0,1.0,2,246
19,457,5567,75,93,4,20,0,1.0,2,246
20,477,5441,77,77,2,20,1,1.0,2,246
21,468,5354,71,68,2,20,0,1.0,2,246
22,444,5184,61,55,2,20,0,1.0,2,246
23,401,4993,55,50,1,20,0,1.0,2,246
24,419,4767,53,52,0,20,0,1.0,2,246
25,414,4482,49,49,0,20,0,1.0,2,246
26,364,4180,50,53,0,20,0,1.0,2,246
27,312,3836,47,45,0,20,0,1.0,2,246
28,293,3500,46,44,0,20,0,1.0,2,246
29,303,3146,51,40,0,20,0,1.0,2,246
30,279,2760,51,39,0,20,0,1.0,2,246
31,234,2401,50,39,0,20,0,1.0,2,246
32,226,2111,50,35,0,20,0,1.0,2,246
33,241,1842,52,37,0,20,0,1.0,2,246
34,220,1591,54,34,0,20,0,1.0,2,246
35,211,1337,54,30,0,20,0,1.0,2,246
36,187,1064,50,30,0,20,0,1.0,2,246
37,198,834,49,34,0,20,0,1.0,2,246
38,184,626,52,30,0,20,0,1.0,2,246
39,153,447,52,28,0,20,0,1.0,2,246
40,158,275,48,30,0,20,0,1.0,2,246
41,134,167,54,34,0,20,0,1.0,2,246
42,129,107,58,39,0,20,0,1.0,2,246
43,121,73,59,35,0,20,0,1.0,2,246
44,124,38,63,39,0,20,0,1.0,2,246
45,116,32,64,36,0,20,0,1.0,2,246
46,97,27,70,32,0,20,0,1.0,2,246
47,110,23,74,26,0,20,0,1.0,2,246
48,89,17,78,21,0,20,0,1.0,2,246
49,73,14,84,16,0,20,0,1.0,2,246
50,57,9,96,12,0,20,0,1.0,2,246
51,64,4,98,18,0,20,0,1.0,2,246
52,59,0,97,29,0,20,0,1.0,2,246
53,37,0,97,32,0,20,0,1.0,2,246
54,40,0,106,28,0,20,0,1.0,2,246
55,49,0,113,27,0,20,0,1.0,2,246
56,57,0,118,34,0,20,0,1.0,2,246
57,48,0,128,30,0,20,0,1.0,2,246
58,50,0,136,21,0,20,0,1.0,2,246
59,56,0,144,16,0,20,0,1.0,2,246
60,65,0,144,20,0,20,0,1.0,2,246
0,300,2000,400,150,0,20,0,1.5,2,246
1,298,2000,401,150,0,20,0,1.5,2,246
2,330,1987,403,158,10,20,1,1.5,2,246
3,374,2030,371,150,23,20,6,1.5,2,246
4,416,2696,336,158,42,20,5,1.5,2,246
5,491,3242,330,145,45,20,2,1.5,2,246
6,491,3481,313,138,43,20,5,1.5,2,246
7,546,3952,302,129,32,20,3,1.5,2,246
8,520,4298,291,114,27,20,1,1.5,2,246
9,483,4442,257,112,27,20,5,1.5,2,246
10,496,5086,293,95,26,20,0,1.5,2,246
11,457,5085,276,86,17,20,3,1.5,2,246
12,468,5444,272,74,16,20,2,1.5,2,246
13,438,5648,252,59,9,20,2,1.5,2,246
14,429,5779,243,60,8,20,2,1.5,2,246
15,448,5965,233,53,6,20,1,1.5,2,246
16,397,5925,232,48,4,20,1,1.5,2,246
17,391,5942,219,41,3,20,1,1.5,2,246
18,373,5920,209,29,1,20,0,1.5,2,246
19,340,5795,206,23,1,20,0,1.5,2,246
20,331,5644,192,13,0,20,0,1.5,2,246
21,295,5451,184,9,0,20,0,1.5,2,246
22,276,5231,183,6,0,20,0,1.5,2,246
23,243,4997,183,4,0,20,0,1.5,2,246
24,220,4739,185,2,0,20,0,1.5,2,246
25,223,4470,197,2,0,20,0,1.5,2,246
26,208,4171,197,2,0,20,0,1.5,2,246
27,180,3845,201,1,0,20,0,1.5,2,246
28,172,3528,208,0,0,20,0,1.5,2,246
29,162,3190,228,0,0,20,0,1.5,2,246
30,165,2831,231,0,0,20,0,1.5,2,246
31,128,2453,247,0,0,20,0,1.5,2,246
32,109,2169,263,0,0,20,0,1.5,2,246
33,106,1897,277,0,0,20,0,1.5,2,246
34,91,1612,296,0,0,20,0,1.5,2,246
35,74,1344,310,0,0,20,0,1.5,2,246
36,58,1099,331,0,0,20,0,1.5,2,246
37,57,884,360,0,0,20,0,1.5,2,246
38,52,701,385,0,0,20,0,1.5,2,246
39,48,546,396,0,0,20,0,1.5,2,246
40,41,427,426,0,0,20,0,1.5,2,246
41,44,316,441,0,0,20,0,1.5,2,246
42,37,255,470,0,0,20,0,1.5,2,246
43,38,173,498,0,0,20,0,1.5,2,246
44,37,114,518,0,0,20,0,1.5,2,246
45,32,73,531,0,0,20,0,1.5,2,246
46,31,45,541,0,0,20,0,1.5,2,246
47,34,29,564,0,0,20,0,1.5,2,246
48,34,7,593,0,0,20,0,1.5,2,246
49,33,0,625,0,0,20,0,1.5,2,246
50,27,0,658,0,0,20,0,1.5,2,246
51,27,0,689,0,0,20,0,1.5,2,246
52,38,0,731,0,0,20,0,1.5,2,246
53,34,0,777,0,0,20,0,1.5,2,246
54,36,0,818,0,0,20,0,1.5,2,246
55,42,0,882,0,0,20,0,1.5,2,246
56,46,0,950,0,0,20,0,1.5,2,246
57,43,0,1014,0,0,20,0,1.5,2,246
58,31,0,1080,0,0,20,0,1.5,2,246
59,33,0,1156,0,0,20,0,1.5,2,246
60,32,0,1224,0,0,20,0,1.5,2,246
0,300,2000,400,150,0,20,0,1.0,10,246
1,298,2000,401,150,0,20,0,1.0,10,246
2,284,1988,395,162,11,20,3,1.0,10,246
3,281,2217,366,186,20,20,4,1.0,10,246
4,238,2617,346,208,38,20,6,1.0,10,246
5,201,3214,339,196,54,20,10,1.0,10,246
6,184,4339,353,182,67,20,6,1.0,10,246
7,157,4885,369,171,79,20,6,1.0,10,246
8,125,5632,374,162,78,20,11,1.0,10,246
9,105,6611,375,180,76,20,7,1.0,10,246
10,72,7344,431,165,76,20,7,1.0,10,246
11,56,8112,446,174,70,20,6,1.0,10,246
12,37,8753,446,171,70,20,7,1.0,10,246
13,21,9505,472,163,66,20,5,1.0,10,246
14,20,10090,494,159,66,20,4,1.0,10,246
15,18,10444,522,143,56,20,5,1.0,10,246
16,13,10928,547,149,51,20,5,1.0,10,246
17,8,11117,577,147,42,20,3,1.0,10,246
18,6,11344,625,133,35,20,3,1.0,10,246
19,7,11614,654,133,31,20,2,1.0,10,246
20,4,11713,685,118,34,20,2,1.0,10,246
21,2,11734,729,114,32,20,2,1.0,10,246
22,1,11633,756,112,24,20,1,1.0,10,246
23,1,11473,798,108,19,20,2,1.0,10,246
24,1,11291,854,100,17,20,0,1.0,10,246
25,0,10874,914,105,13,20,1,1.0,10,246
26,0,10574,980,114,11,20,0,1.0,10,246
27,0,10093,1024,104,10,20,0,1.0,10,246
28,0,9578,1066,105,9,20,0,1.0,10,246
29,0,8980,1141,111,6,20,0,1.0,10,246
30,0,8323,1221,109,3,20,0,1.0,10,246
31,0,7677,1308,97,2,20,0,1.0,10,246
32,0,7145,1416,97,3,20,0,1.0,10,246
33,0,6576,1515,101,4,20,0,1.0,10,246
34,0,5938,1622,103,3,20,0,1.0,10,246
35,0,5351,1730,98,2,20,0,1.0,10,246
36,0,4729,1826,78,2,20,0,1.0,10,246
37,0,4135,1950,75,2,20,0,1.0,10,246
38,0,3612,2097,64,1,20,0,1.0,10,246
39,0,3097,2242,65,1,20,0,1.0,10,246
40,0,2635,2391,59,1,20,0,1.0,10,246
41,0,2183,2528,65,0,20,0,1.0,10,246
42,0,1796,2688,68,0,20,0,1.0,10,246
43,0,1484,2847,63,0,20,0,1.0,10,246
44,0,1173,3033,73,0,20,0,1.0,10,246
45,0,948,3227,62,0,20,0,1.0,10,246
46,0,752,3433,77,0,20,0,1.0,10,246
47,0,574,3681,71,0,20,0,1.0,10,246
48,0,432,3925,87,0,20,0,1.0,10,246
49,0,304,4206,96,0,20,0,1.0,10,246
50,0,215,4492,97,0,20,0,1.0,10,246
51,0,161,4776,102,0,20,0,1.0,10,246
52,0,98,5000,102,0,20,0,1.0,10,246
53,0,57,5000,107,0,20,0,1.0,10,246
54,0,37,5000,100,0,20,0,1.0,10,246
55,0,19,5000,102,0,20,0,1.0,10,246
56,0,12,5000,104,0,20,0,1.0,10,246
57,0,0,5000,110,0,20,0,1.0,10,246
58,0,0,5000,114,0,20,0,1.0,10,246
59,0,0,5000,112,0,20,0,1.0,10,246
60,0,0,5000,124,0,20,0,1.0,10,246
0,300,2000,400,150,0,20,0,1.5,10,246
