step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
0,300,2000,400,150,0,20,0,1.0,2,210
1,298,2000,396,150,0,20,0,1.0,2,210
2,358,1991,393,179,8,20,2,1.0,2,210
3,443,2205,357,193,22,20,4,1.0,2,210
4,488,2691,328,203,40,20,7,1.0,2,210
5,566,3252,319,196,41,20,4,1.0,2,210
6,670,3806,315,202,36,20,5,1.0,2,210
7,730,4213,273,213,30,20,4,1.0,2,210
8,698,4551,264,200,28,20,3,1.0,2,210
9,664,4803,239,185,32,20,5,1.0,2,210
10,632,5440,243,166,27,20,5,1.0,2,210
11,629,5850,223,169,19,20,4,1.0,2,210
12,569,6384,196,167,17,20,3,1.0,2,210
13,535,6752,179,161,15,20,4,1.0,2,210
14,523,7259,173,155,12,20,5,1.0,2,210
15,507,7829,153,168,9,20,4,1.0,2,210
16,530,8212,142,166,9,20,3,1.0,2,210
17,460,8493,137,166,6,20,0,1.0,2,210
18,463,8377,135,164,6,20,0,1.0,2,210
19,457,8247,133,175,2,20,1,1.0,2,210
20,421,8172,130,188,4,20,1,1.0,2,210
21,409,8154,124,180,2,20,0,1.0,2,210
22,350,7908,120,185,1,20,0,1.0,2,210
23,330,7639,124,206,3,20,1,1.0,2,210
24,295,7453,116,206,2,20,0,1.0,2,210
25,275,7149,118,194,3,20,1,1.0,2,210
26,274,6922,108,189,7,20,1,1.0,2,210
27,239,6629,108,192,7,20,1,1.0,2,210
28,249,6327,108,187,4,20,1,1.0,2,210
29,250,5975,107,156,0,20,1,1.0,2,210
30,242,5652,102,142,2,20,0,1.0,2,210
31,231,5171,105,132,1,20,1,1.0,2,210
32,218,4911,106,135,1,20,1,1.0,2,210
33,216,4668,107,145,0,20,1,1.0,2,210
34,197,4318,110,145,0,20,0,1.0,2,210
35,209,3909,113,134,0,20,0,1.0,2,210
36,212,3494,119,138,0,20,0,1.0,2,210
37,223,3160,124,151,2,20,0,1.0,2,210
38,225,2864,116,159,1,20,0,1.0,2,210
39,253,2559,119,150,1,20,0,1.0,2,210
