step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
0,300,2000,400,150,0,20,0,1.5,10,113
1,296,2000,402,150,0,20,0,1.5,10,113
2,327,1992,377,178,7,20,0,1.5,10,113
3,282,1973,354,172,22,20,1,1.5,10,113
4,257,2085,347,188,35,20,4,1.5,10,113
5,251,2510,341,178,45,20,2,1.5,10,113
6,225,2675,341,167,48,20,7,1.5,10,113
7,205,3477,328,160,58,20,9,1.5,10,113
8,156,4630,337,135,66,20,5,1.5,10,113
9,138,5047,335,138,68,20,9,1.5,10,113
10,111,6148,364,130,64,20,9,1.5,10,113
11,68,7053,383,118,63,20,9,1.5,10,113
12,61,8010,402,93,64,20,6,1.5,10,113
13,50,8466,404,75,65,20,9,1.5,10,113
14,40,9357,430,74,54,20,5,1.5,10,113
15,34,9812,452,76,45,20,7,1.5,10,113
16,28,10381,463,60,40,20,6,1.5,10,113
17,28,10922,486,46,34,20,5,1.5,10,113
18,15,11395,513,36,36,20,5,1.5,10,113
19,16,11806,540,31,34,20,4,1.5,10,113
20,11,12074,578,25,33,20,5,1.5,10,113
21,11,12407,605,26,31,20,5,1.5,10,113
22,8,12842,644,26,30,20,3,1.5,10,113
23,10,13050,681,25,26,20,3,1.5,10,113
24,10,13118,723,16,20,20,6,1.5,10,113
25,6,13424,764,13,17,20,4,1.5,10,113
26,6,13459,835,11,14,20,3,1.5,10,113
27,8,13402,896,6,7,20,2,1.5,10,113
28,8,13022,967,6,6,20,0,1.5,10,113
29,8,12512,1043,6,4,20,1,1.5,10,113
30,14,12064,1106,3,3,20,1,1.5,10,113
31,18,11571,1173,5,1,20,1,1.5,10,113
32,20,11239,1245,3,0,20,0,1.5,10,113
33,16,10604,1341,2,0,20,0,1.5,10,113
34,16,9976,1413,0,0,20,0,1.5,10,113
35,14,9325,1526,0,0,20,0,1.5,10,113
36,9,8656,1594,0,0,20,0,1.5,10,113
37,5,8031,1699,0,0,20,0,1.5,10,113
38,3,7344,1795,0,0,20,0,1.5,10,113
39,3,6682,1906,0,0,20,0,1.5,10,113
40,3,6037,2038,0,0,20,0,1.5,10,113
41,0,5417,2162,0,0,20,0,1.5,10,113
42,0,4793,2295,0,0,20,0,1.5,10,113
43,0,4156,2422,0,0,20,0,1.5,10,113
44,0,3680,2577,0,0,20,0,1.5,10,113
45,0,3240,2741,0,0,20,0,1.5,10,113
46,0,2842,2977,0,0,20,0,1.5,10,113
47,0,2416,3191,0,0,20,0,1.5,10,113
48,0,2030,3379,0,0,20,0,1.5,10,113
49,0,1703,3642,0,0,20,0,1.5,10,113
50,0,1409,3863,0,0,20,0,1.5,10,113
51,0,1165,4112,0,0,20,0,1.5,10,113
52,0,933,4402,0,0,20,0,1.5,10,113
53,0,705,4696,0,0,20,0,1.5,10,113
54,0,521,5000,0,0,20,0,1.5,10,113
55,0,376,5000,0,0,20,0,1.5,10,113
56,0,241,5000,0,0,20,0,1.5,10,113
57,0,164,5000,0,0,20,0,1.5,10,113
58,0,102,5000,0,0,20,0,1.5,10,113
59,0,63,5000,0,0,20,0,1.5,10,113
60,0,49,5000,0,0,20,0,1.5,10,113
0,300,2000,400,150,0,20,0,1.5,10,227
1,299,2000,401,148,0,20,0,1.5,10,227
2,349,1992,376,169,7,20,0,1.5,10,227
3,340,1977,366,183,21,20,4,1.5,10,227
4,309,2452,355,189,36,20,5,1.5,10,227
5,269,2891,357,181,50,20,5,1.5,10,227
6,266,3446,357,182,49,20,9,1.5,10,227
7,244,4346,363,155,65,20,7,1.5,10,227
8,180,5052,359,119,70,20,7,1.5,10,227
9,162,5864,359,103,75,20,8,1.5,10,227
10,113,6499,414,89,84,20,6,1.5,10,227
11,76,7043,429,83,85,20,9,1.5,10,227
12,69,7964,437,72,74,20,11,1.5,10,227
13,37,9219,474,68,63,20,11,1.5,10,227
14,31,10387,492,67,66,20,8,1.5,10,227
15,22,11062,509,64,68,20,6,1.5,10,227
16,13,11505,556,61,63,20,10,1.5,10,227
17,12,12663,573,73,51,20,7,1.5,10,227
18,17,13352,622,69,46,20,3,1.5,10,227
19,16,13525,661,63,38,20,10,1.5,10,227
20,15,14409,705,61,34,20,7,1.5,10,227
21,18,14999,764,73,33,20,2,1.5,10,227
22,22,15031,827,63,30,20,1,1.5,10,227
23,24,14937,878,60,29,20,3,1.5,10,227
24,18,15035,925,57,24,20,2,1.5,10,227
25,28,14819,1004,57,19,20,3,1.5,10,227
26,26,14682,1076,53,16,20,2,1.5,10,227
27,31,14477,1143,31,12,20,2,1.5,10,227
28,27,14214,1223,31,11,20,2,1.5,10,227
29,24,13874,1313,19,5,20,1,1.5,10,227
30,30,13345,1386,13,3,20,1,1.5,10,227
31,25,12675,1481,19,2,20,1,1.5,10,227
32,32,12187,1578,15,1,20,1,1.5,10,227
33,30,11592,1680,17,0,20,1,1.5,10,227
34,36,10998,1796,24,0,20,0,1.5,10,227
35,36,10239,1899,21,1,20,0,1.5,10,227
36,30,9476,1988,24,2,20,0,1.5,10,227
37,37,8572,2157,22,0,20,0,1.5,10,227
38,33,7849,2293,25,0,20,0,1.5,10,227
39,35,7095,2453,22,0,20,0,1.5,10,227
40,30,6405,2571,14,0,20,0,1.5,10,227
41,29,5710,2709,14,0,20,0,1.5,10,227
42,39,5033,2847,11,0,20,0,1.5,10,227
43,36,4363,3031,8,0,20,0,1.5,10,227
44,31,3776,3225,6,0,20,0,1.5,10,227
45,21,3236,3460,6,0,20,0,1.5,10,227
46,25,2765,3630,6,0,20,0,1.5,10,227
47,22,2367,3792,10,0,20,0,1.5,10,227
48,15,1989,4012,7,0,20,0,1.5,10,227
49,15,1660,4188,8,0,20,0,1.5,10,227
50,12,1392,4493,7,0,20,0,1.5,10,227
51,12,1126,4763,7,0,20,0,1.5,10,227
52,12,916,5000,7,0,20,0,1.5,10,227
53,14,771,5000,3,0,20,0,1.5,10,227
54,22,639,5000,3,0,20,0,1.5,10,227
55,21,507,5000,0,0,20,0,1.5,10,227
56,20,410,5000,0,0,20,0,1.5,10,227
57,23,302,5000,0,0,20,0,1.5,10,227
58,24,228,5000,0,0,20,0,1.5,10,227
59,25,177,5000,0,0,20,0,1.5,10,227
60,21,123,5000,0,0,20,0,1.5,10,227
0,300,2000,400,150,0,20,0,1.5,10,228
1,298,2000,403,148,0,20,0,1.5,10,228
2,280,1987,395,167,12,20,2,1.5,10,228
3,244,2172,388,168,29,20,4,1.5,10,228
4,219,2541,398,179,50,20,7,1.5,10,228
5,192,3326,389,165,62,20,5,1.5,10,228
6,161,3899,377,159,68,20,5,1.5,10,228
7,137,4381,370,138,77,20,6,1.5,10,228
8,98,5103,396,129,77,20,6,1.5,10,228
9,71,5775,397,121,74,20,7,1.5,10,228
10,49,6487,442,111,70,20,3,1.5,10,228
11,34,6798,455,121,69,20,8,1.5,10,228
12,25,7622,479,112,62,20,6,1.5,10,228
13,17,8130,507,116,57,20,5,1.5,10,228
14,15,8734,524,121,46,20,7,1.5,10,228
15,17,9410,571,130,43,20,6,1.5,10,228
16,13,10120,596,95,38,20,8,1.5,10,228
17,9,10956,646,92,33,20,3,1.5,10,228
18,8,11221,670,100,33,20,5,1.5,10,228
19,7,11627,716,85,28,20,4,1.5,10,228
20,5,11875,773,90,27,20,3,1.5,10,228
21,4,11966,820,83,20,20,1,1.5,10,228
22,2,11817,878,82,22,20,6,1.5,10,228
23,2,12202,927,76,18,20,2,1.5,10,228
24,1,12078,994,79,17,20,3,1.5,10,228
25,1,11976,1038,74,16,20,5,1.5,10,228
26,1,12118,1105,60,11,20,1,1.5,10,228
27,0,11833,1153,56,7,20,3,1.5,10,228
28,0,11610,1235,48,9,20,1,1.5,10,228
29,0,11106,1323,55,6,20,2,1.5,10,228
30,0,10784,1406,52,4,20,2,1.5,10,228
31,0,10394,1500,55,4,20,1,1.5,10,228
32,0,10018,1585,47,3,20,1,1.5,10,228
33,0,9518,1679,43,2,20,2,1.5,10,228
34,0,9120,1780,48,2,20,0,1.5,10,228
35,0,8511,1898,32,1,20,0,1.5,10,228
