step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
0,300,2000,400,150,0,20,0,1.0,2,158
1,300,2000,403,149,0,20,0,1.0,2,158
2,351,1988,398,165,8,20,0,1.0,2,158
3,418,1962,374,177,26,20,4,1.0,2,158
4,501,2332,334,186,41,20,5,1.0,2,158
5,572,2885,299,170,47,20,5,1.0,2,158
6,617,3442,268,169,49,20,4,1.0,2,158
7,661,3984,243,142,49,20,5,1.0,2,158
8,672,4425,228,149,46,20,4,1.0,2,158
9,667,4939,214,144,40,20,5,1.0,2,158
10,636,5394,208,153,31,20,7,1.0,2,158
11,623,6197,185,136,33,20,4,1.0,2,158
12,625,6762,171,120,31,20,3,1.0,2,158
13,608,7129,164,121,23,20,1,1.0,2,158
14,584,7207,144,107,18,20,0,1.0,2,158
15,572,7200,135,98,22,20,0,1.0,2,158
16,542,7077,124,80,14,20,2,1.0,2,158
17,495,7090,122,74,9,20,0,1.0,2,158
18,483,6954,120,80,7,20,2,1.0,2,158
19,467,7069,110,81,4,20,1,1.0,2,158
20,459,7013,116,92,5,20,1,1.0,2,158
21,420,6909,114,89,5,20,0,1.0,2,158
22,401,6679,105,93,3,20,1,1.0,2,158
23,428,6549,100,97,2,20,0,1.0,2,158
24,402,6292,98,87,2,20,0,1.0,2,158
25,390,5979,85,89,1,20,0,1.0,2,158
26,356,5631,84,79,1,20,0,1.0,2,158
27,369,5271,85,84,0,20,0,1.0,2,158
28,366,4867,86,82,0,20,0,1.0,2,158
29,340,4481,87,89,1,20,0,1.0,2,158
30,315,4023,85,91,1,20,0,1.0,2,158
31,314,3585,82,92,0,20,0,1.0,2,158
32,314,3273,82,87,0,20,0,1.0,2,158
33,286,2924,79,74,0,20,0,1.0,2,158
34,281,2594,82,75,0,20,0,1.0,2,158
35,250,2248,81,72,0,20,0,1.0,2,158
36,251,1898,82,72,0,20,0,1.0,2,158
37,235,1580,85,78,0,20,0,1.0,2,158
38,223,1298,87,83,0,20,0,1.0,2,158
39,215,1031,85,100,0,20,0,1.0,2,158
40,193,813,78,97,0,20,0,1.0,2,158
41,213,630,86,101,0,20,0,1.0,2,158
42,228,476,93,106,1,20,0,1.0,2,158
43,218,362,92,103,0,20,0,1.0,2,158
44,218,300,92,108,0,20,0,1.0,2,158
45,214,242,94,102,0,20,0,1.0,2,158
46,219,210,94,106,1,20,0,1.0,2,158
47,209,162,96,105,0,20,0,1.0,2,158
48,186,118,99,107,0,20,0,1.0,2,158
49,181,76,97,102,0,20,0,1.0,2,158
50,173,45,98,97,0,20,0,1.0,2,158
51,167,22,97,98,0,20,0,1.0,2,158
52,170,13,90,98,0,20,0,1.0,2,158
53,146,7,84,91,0,20,0,1.0,2,158
54,158,0,82,79,0,20,0,1.0,2,158
55,156,0,81,78,0,20,0,1.0,2,158
56,163,0,81,63,0,20,0,1.0,2,158
57,150,0,83,66,0,20,0,1.0,2,158
58,136,0,86,75,0,20,0,1.0,2,158
59,157,0,88,81,0,20,0,1.0,2,158
60,141,0,86,84,0,20,0,1.0,2,158
0,300,2000,400,150,0,20,0,1.5,10,158
1,300,2000,403,149,0,20,0,1.5,10,158
2,288,1982,391,168,13,20,0,1.5,10,158
3,239,1961,390,193,29,20,2,1.5,10,158
4,190,2072,402,199,48,20,7,1.5,10,158
5,164,2859,400,185,59,20,5,1.5,10,158
6,122,3371,406,170,78,20,4,1.5,10,158
7,100,3790,407,172,87,20,8,1.5,10,158
8,65,4554,436,158,86,20,5,1.5,10,158
9,44,5175,443,161,87,20,2,1.5,10,158
10,33,5398,492,153,82,20,8,1.5,10,158
11,12,6342,518,144,80,20,5,1.5,10,158
12,8,6807,533,130,74,20,4,1.5,10,158
13,5,7351,572,113,63,20,4,1.5,10,158
14,9,7740,596,110,56,20,6,1.5,10,158
15,4,8388,641,103,42,20,7,1.5,10,158
16,2,8882,691,97,37,20,2,1.5,10,158
17,1,9085,759,102,30,20,2,1.5,10,158
18,0,9122,812,98,30,20,2,1.5,10,158
19,0,9211,890,91,31,20,1,1.5,10,158
20,0,9157,964,73,28,20,4,1.5,10,158
21,0,9424,1029,73,28,20,6,1.5,10,158
22,0,9902,1109,72,25,20,4,1.5,10,158
23,0,10037,1200,62,20,20,5,1.5,10,158
24,0,10150,1276,65,16,20,1,1.5,10,158
25,0,9959,1360,58,15,20,2,1.5,10,158
26,0,9728,1443,65,11,20,1,1.5,10,158
27,0,9422,1551,58,9,20,0,1.5,10,158
28,0,8987,1653,59,9,20,0,1.5,10,158
29,0,8537,1729,71,10,20,1,1.5,10,158
30,0,8122,1837,61,10,20,2,1.5,10,158
31,0,7793,1946,69,7,20,2,1.5,10,158
32,0,7598,2072,65,3,20,0,1.5,10,158
33,0,7143,2166,67,2,20,0,1.5,10,158
34,0,6670,2337,63,1,20,0,1.5,10,158
35,0,6173,2533,52,1,20,0,1.5,10,158
36,0,5683,2742,59,0,20,0,1.5,10,158
37,0,5250,2876,60,0,20,0,1.5,10,158
38,0,4789,3098,68,0,20,0,1.5,10,158
39,0,4292,3320,59,0,20,0,1.5,10,158
40,0,3833,3569,63,0,20,0,1.5,10,158
41,0,3449,3836,6,0,20,0,1.5,10,158
42,0,3026,4110,6,0,20,0,1.5,10,158
43,0,2678,4392,5,1,20,0,1.5,10,158
44,0,2353,4704,3,0,20,0,1.5,10,158
45,0,2041,4980,3,0,20,0,1.5,10,158
46,0,1775,5000,0,0,20,0,1.5,10,158
47,0,1513,5000,0,0,20,0,1.5,10,158
48,0,1288,5000,0,0,20,0,1.5,10,158
49,0,1098,5000,0,0,20,0,1.5,10,158
50,0,917,5000,0,0,20,0,1.5,10,158
51,0,752,5000,0,0,20,0,1.5,10,158
52,0,575,5000,0,0,20,0,1.5,10,158
53,0,434,5000,0,0,20,0,1.5,10,158
54,0,342,5000,0,0,20,0,1.5,10,158
55,0,272,5000,0,0,20,0,1.5,10,158
56,0,227,5000,0,0,20,0,1.5,10,158
57,0,185,5000,0,0,20,0,1.5,10,158
58,0,144,5000,0,0,20,0,1.5,10,158
59,0,107,5000,0,0,20,0,1.5,10,158
60,0,71,5000,0,0,20,0,1.5,10,158
