step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
0,300,2000,400,150,0,20,0,1.0,2,227
1,299,2000,401,148,0,20,0,1.0,2,227
2,367,1996,383,191,4,20,0,1.0,2,227
3,423,1978,345,184,21,20,5,1.0,2,227
4,508,2695,322,189,38,20,7,1.0,2,227
5,580,3310,300,159,60,20,8,1.0,2,227
6,630,4325,273,132,63,20,7,1.0,2,227
7,673,4890,257,126,51,20,9,1.0,2,227
8,675,5851,241,93,31,20,7,1.0,2,227
9,646,6737,211,75,34,20,5,1.0,2,227
10,604,7393,224,82,27,20,4,1.0,2,227
11,551,7875,208,75,20,20,5,1.0,2,227
12,539,8605,193,79,12,20,2,1.0,2,227
13,533,8865,190,76,10,20,1,1.0,2,227
14,496,8999,191,83,11,20,1,1.0,2,227
15,468,9105,187,98,9,20,2,1.0,2,227
16,460,9194,170,90,6,20,0,1.0,2,227
17,497,9073,159,88,6,20,0,1.0,2,227
18,483,8959,146,87,3,20,1,1.0,2,227
19,441,8924,146,67,6,20,2,1.0,2,227
20,429,8930,136,70,5,20,0,1.0,2,227
21,453,8729,129,69,4,20,0,1.0,2,227
22,413,8471,118,71,1,20,0,1.0,2,227
23,360,8194,120,83,1,20,0,1.0,2,227
24,354,7811,122,71,0,20,0,1.0,2,227
25,359,7404,126,76,1,20,0,1.0,2,227
26,348,6943,119,74,1,20,0,1.0,2,227
27,300,6427,112,72,0,20,0,1.0,2,227
28,283,5909,104,61,0,20,0,1.0,2,227
29,273,5360,113,63,0,20,0,1.0,2,227
30,253,4727,118,66,0,20,0,1.0,2,227
31,224,4152,120,62,0,20,0,1.0,2,227
32,202,3705,131,61,0,20,0,1.0,2,227
33,198,3276,130,64,0,20,0,1.0,2,227
34,195,2807,136,82,1,20,0,1.0,2,227
35,182,2379,145,75,1,20,0,1.0,2,227
36,155,1938,145,71,0,20,0,1.0,2,227
37,148,1552,147,69,0,20,0,1.0,2,227
38,139,1215,153,64,0,20,0,1.0,2,227
39,119,904,150,69,0,20,0,1.0,2,227
40,122,665,150,49,0,20,0,1.0,2,227
41,113,499,161,46,0,20,0,1.0,2,227
42,112,349,165,40,0,20,0,1.0,2,227
43,106,245,187,40,0,20,0,1.0,2,227
44,110,180,188,34,0,20,0,1.0,2,227
45,130,134,184,26,0,20,0,1.0,2,227
46,125,93,187,7,0,20,0,1.0,2,227
47,112,60,200,5,0,20,0,1.0,2,227
48,127,44,204,5,0,20,0,1.0,2,227
49,131,30,218,5,0,20,0,1.0,2,227
50,135,12,236,5,0,20,0,1.0,2,227
51,144,0,243,4,0,20,0,1.0,2,227
52,140,0,245,1,0,20,0,1.0,2,227
53,166,0,243,1,0,20,0,1.0,2,227
54,169,0,263,0,0,20,0,1.0,2,227
55,178,0,275,0,0,20,0,1.0,2,227
56,166,0,277,0,0,20,0,1.0,2,227
57,153,0,285,0,0,20,0,1.0,2,227
58,157,0,285,0,0,20,0,1.0,2,227
59,147,0,288,0,0,20,0,1.0,2,227
60,144,0,291,0,0,20,0,1.0,2,227
0,300,2000,400,150,0,20,0,1.5,10,227
1,299,2000,401,148,0,20,0,1.5,10,227
2,349,1992,376,169,7,20,0,1.5,10,227
3,340,1977,366,183,21,20,4,1.5,10,227
4,309,2452,355,189,36,20,5,1.5,10,227
5,269,2891,357,181,50,20,5,1.5,10,227
6,266,3446,357,182,49,20,9,1.5,10,227
7,244,4346,363,155,65,20,7,1.5,10,227
8,180,5052,359,119,70,20,7,1.5,10,227
9,162,5864,359,103,75,20,8,1.5,10,227
10,113,6499,414,89,84,20,6,1.5,10,227
11,76,7043,429,83,85,20,9,1.5,10,227
12,69,7964,437,72,74,20,11,1.5,10,227
13,37,9219,474,68,63,20,11,1.5,10,227
14,31,10387,492,67,66,20,8,1.5,10,227
15,22,11062,509,64,68,20,6,1.5,10,227
16,13,11505,556,61,63,20,10,1.5,10,227
17,12,12663,573,73,51,20,7,1.5,10,227
18,17,13352,622,69,46,20,3,1.5,10,227
19,16,13525,661,63,38,20,10,1.5,10,227
20,15,14409,705,61,34,20,7,1.5,10,227
21,18,14999,764,73,33,20,2,1.5,10,227
22,22,15031,827,63,30,20,1,1.5,10,227
23,24,14937,878,60,29,20,3,1.5,10,227
24,18,15035,925,57,24,20,2,1.5,10,227
25,28,14819,1004,57,19,20,3,1.5,10,227
26,26,14682,1076,53,16,20,2,1.5,10,227
27,31,14477,1143,31,12,20,2,1.5,10,227
28,27,14214,1223,31,11,20,2,1.5,10,227
29,24,13874,1313,19,5,20,1,1.5,10,227
30,30,13345,1386,13,3,20,1,1.5,10,227
31,25,12675,1481,19,2,20,1,1.5,10,227
32,32,12187,1578,15,1,20,1,1.5,10,227
33,30,11592,1680,17,0,20,1,1.5,10,227
34,36,10998,1796,24,0,20,0,1.5,10,227
35,36,10239,1899,21,1,20,0,1.5,10,227
36,30,9476,1988,24,2,20,0,1.5,10,227
37,37,8572,2157,22,0,20,0,1.5,10,227
38,33,7849,2293,25,0,20,0,1.5,10,227
39,35,7095,2453,22,0,20,0,1.5,10,227
40,30,6405,2571,14,0,20,0,1.5,10,227
41,29,5710,2709,14,0,20,0,1.5,10,227
42,39,5033,2847,11,0,20,0,1.5,10,227
43,36,4363,3031,8,0,20,0,1.5,10,227
44,31,3776,3225,6,0,20,0,1.5,10,227
45,21,3236,3460,6,0,20,0,1.5,10,227
46,25,2765,3630,6,0,20,0,1.5,10,227
47,22,2367,3792,10,0,20,0,1.5,10,227
48,15,1989,4012,7,0,20,0,1.5,10,227
49,15,1660,4188,8,0,20,0,1.5,10,227
50,12,1392,4493,7,0,20,0,1.5,10,227
51,12,1126,4763,7,0,20,0,1.5,10,227
52,12,916,5000,7,0,20,0,1.5,10,227
53,14,771,5000,3,0,20,0,1.5,10,227
54,22,639,5000,3,0,20,0,1.5,10,227
55,21,507,5000,0,0,20,0,1.5,10,227
56,20,410,5000,0,0,20,0,1.5,10,227
57,23,302,5000,0,0,20,0,1.5,10,227
58,24,228,5000,0,0,20,0,1.5,10,227
59,25,177,5000,0,0,20,0,1.5,10,227
60,21,123,5000,0,0,20,0,1.5,10,227
